title,anime_id
Hayate no Gotoku!,2026
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",39324
To LOVE-Ru,3455
Aoki Hagane no Arpeggio: Ars Nova,18893
D.Gray-man Hallow,32370
Aa! Megami-sama! (TV),50
Pokemon Diamond & Pearl,1565
Kimi ga Nozomu Eien,147
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14813
Owari no Seraph,26243
Romeo x Juliet,1699
Paradise Kiss,322
Toaru Kagaku no Railgun S,16049
Lovely★Complex,2034
High School DxD BorN,24703
Ishuzoku Reviewers,40010
Sirius,37569
Hajime no Ippo: New Challenger,5258
Dragon Ball Kai,6033
Code Geass: Hangyaku no Lelouch R2,2904
Hakuouki,6895
Demi-chan wa Kataritai,33988
Kono Bijutsubu ni wa Mondai ga Aru!,31952
Onegai☆Teacher,195
Special A,3470
Vampire Knight: Guilty,4752
Yumekui Merry,9331
Hajime no Ippo,263
Kekkai Sensen,24439
Dog Days,10155
Yuru Camp△ Season 2,38474
Kareshi Kanojo no Jijou,145
Nijiiro Days,31414
Ousama Ranking,40834
Steins;Gate 0,30484
Skip Beat!,4722
Durarara!!x2 Ketsu,27833
Saint Seiya,1254
Tokyo Magnitude 8.0,6211
Tennis no Ouji-sama,22
Barakamon,22789
Great Pretender,40052
Kimetsu no Yaiba,38000
Shijou Saikyou no Deshi Kenichi,1559
Higashi no Eden,5630
Mawaru Penguindrum,10721
Overlord,29803
Sword Art Online: Alicization,36474
Sword Art Online,11757
Papa no Iukoto wo Kikinasai!,11179
SK∞,42923
Yu☆Gi☆Oh! Duel Monsters,481
Blood Lad,11633
Blend S,34618
Charlotte,28999
Gintama,918
Re:␣Hamatora,23421
Toaru Kagaku no Railgun,6213
Dance in the Vampire Bund,6747
Amagami SS,8676
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,15315
Overlord II,35073
Seiken Tsukai no World Break,22663
Black★Rock Shooter (TV),11285
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,33051
Mushishi Zoku Shou,21939
Enen no Shouboutai: Ni no Shou,40956
Kimi no Iru Machi,17741
Hentai Ouji to Warawanai Neko.,15225
Kimi ni Todoke,6045
Masamune-kun no Revenge,33487
White Album 2,18245
Grisaia no Kajitsu,17729
Bakemonogatari,5081
Slam Dunk,170
Hai to Gensou no Grimgar,31859
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,39587
Gintama',9969
Tiger & Bunny,9941
Choujigen Game Neptune The Animation,16157
Kuroko no Basket,11771
Fullmetal Alchemist: Brotherhood,5114
Panty & Stocking with Garterbelt,8795
Made in Abyss,34599
Tensei shitara Slime Datta Ken,37430
Black Cat (TV),68
Little Witch Academia (TV),33489
Ben-To,10396
Hanamonogatari,21855
Canaan,5356
Kiniro Mosaic,16732
Shouwa Genroku Rakugo Shinjuu,28735
Danshi Koukousei no Nichijou,11843
Monster Musume no Iru Nichijou,30307
School Rumble Ni Gakki,846
Kekkai Sensen & Beyond,34451
Ghost Hunt,1571
Saenai Heroine no Sodatekata,23277
Ansatsu Kyoushitsu,24833
Another,11111
Bakuman. 3rd Season,12365
Gabriel DropOut,33731
Ano Natsu de Matteru,11433
Rosario to Vampire Capu2,4214
Kamisama no Memochou,10568
Pokemon XY,19291
Jahy-sama wa Kujikenai!,48753
Hyakka Ryouran: Samurai Girls,8277
Tensura Nikki: Tensei shitara Slime Datta Ken,41488
Natsume Yuujinchou San,10379
Cardcaptor Sakura,232
Samurai Champloo,205
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,42603
Quanzhi Gaoshou,33926
JoJo no Kimyou na Bouken Part 6: Stone Ocean,48661
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,10020
Baki,34443
Aggressive Retsuko (ONA) 2nd Season,37985
Bishoujo Senshi Sailor Moon Crystal,14751
Mo Dao Zu Shi,37208
Net-juu no Susume,36038
Hetalia Axis Powers,5060
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,40542
Aggressive Retsuko (ONA),36904
Koyomimonogatari,32268
Eve no Jikan,3167
Devilman: Crybaby,35120
Nanbaka 2,34414
Chuunibyou demo Koi ga Shitai! Lite,15687
Baki: Dai Raitaisai-hen,39555
Xian Wang de Richang Shenghuo,41094
Plastic Neesan,10711
Noblesse: Awakening,32668
B: The Beginning,32827
Kengan Ashura,36903
Gokushufudou,43692
Shiguang Dailiren,44074
Hoshi no Koe,256
IS: Infinite Stratos Encore - Koi ni Kogareru Rokujuusou,10794
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,43609
Shingeki no Kyojin: Lost Girls,36106
Prison School: Mad Wax,32485
Deadman Wonderland: Akai Knife Tsukai,10418
To LOVE-Ru Darkness OVA,13851
Isekai no Seikishi Monogatari,5781
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,32801
"High School DxD New: Oppai, Tsutsumimasu!",30300
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44
Wotaku ni Koi wa Muzukashii OVA,38349
Boku no Hero Academia: Sukue! Kyuujo Kunren!,33929
Bungou Stray Dogs: Hitori Ayumu,33071
Kamisama Hajimemashita: Kako-hen,30709
Hunter x Hunter: Greed Island Final,139
Boku no Hero Academia: Training of the Dead,35459
Akatsuki no Yona OVA,30370
Hunter x Hunter: Greed Island,138
Higurashi no Naku Koro ni Rei,3652
High School DxD BorN: Yomigaeranai Fushichou,32215
Kamisama Hajimemashita OVA,18661
Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,29027
Seitokai Yakuindomo OVA,10119
Kami nomi zo Shiru Sekai: Tenri-hen,15117
Fairy Tail OVA,9982
Kishibe Rohan wa Ugokanai,33191
Another: The Other - Inga,11701
Strike the Blood II,33286
Kiss x Sis,5042
Hunter x Hunter: Original Video Animation,137
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,6007
Kami nomi zo Shiru Sekai: 4-nin to Idol,10805
Haikyuu!! Lev Genzan!,25303
Nanatsu no Taizai OVA,30347
Date A Live: Date to Date,17641
Haikyuu!! Riku vs. Kuu,40262
Baka to Test to Shoukanjuu: Matsuri,9471
Ao Haru Ride OVA,24151
Noragami Aragoto OVA,30885
Shokugeki no Souma: Ni no Sara OVA,34480
Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,10897
Kore wa Zombie Desu ka? OVA,10209
Tensei shitara Slime Datta Ken OVA,38793
Mahoutsukai no Yome: Hoshi Matsu Hito,32902
Black Lagoon: Roberta's Blood Trail,4901
Final Fantasy VII: Advent Children Complete,2952
Fairy Tail x Rave,18393
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,33161
To LOVE-Ru OVA,5667
Date A Live II: Kurumi Star Festival,22961
Lucky☆Star: Original na Visual to Animation,4472
Shingeki no Kyojin OVA,18397
Shingeki no Kyojin: Kuinaki Sentaku,25781
Hyouka: Motsubeki Mono wa,13469
Trinity Seven: Nanatsu no Taizai to Nana Madoushi,28285
Ginga Eiyuu Densetsu,820
FLCL,227
"Tokyo Ghoul: ""Pinto""",31297
Detroit Metal City,3702
Black★Rock Shooter (OVA),7059
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,34626
High School DxD OVA,12729
Mirai Nikki: Redial,16762
Noragami OVA,20767
Kuroshitsuji: Book of Murder,23317
Nisekoi OVA,24227
Sora no Otoshimono: Project Pink,7858
Carnival Phantasm,10012
One Punch Man: Road to Hero,31704
Denpa-teki na Kanojo,5177
Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,14027
Mirai Nikki,8460
"Tokyo Ghoul: ""Jack""",30458
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,32380
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,18753
Golden Boy,268
Hellsing Ultimate,777
